SID	ASSAYABLE	IDENTIFILERREMARKS	COMPLETION
NA07357	TRUE		  100.00
NA12056	TRUE		  100.00
NA12057	TRUE		  100.00
NA12707	TRUE		  100.00
NA18550	TRUE		  100.00
NA18552	TRUE		  100.00
NA18555	TRUE		  100.00
NA10846	TRUE		  100.00
NA18558	TRUE		  100.00
NA10849	TRUE		  100.00
NA11829	TRUE		  100.00
NA06985	TRUE		  100.00
NA06987	TRUE		  100.00
NA13611	TRUE		  100.00
NA13610	TRUE		  100.00
NA13617	TRUE		  100.00
NA10492	TRUE		  100.00
NA13618	TRUE		  100.00
NA10494	TRUE		  100.00
NA10495	TRUE		  100.00
NA10496	TRUE		  100.00
NA12801	TRUE		  100.00
NA12802	TRUE		  100.00
NA17058	TRUE		  100.00
NA17057	TRUE		  100.00
NA17056	TRUE		  100.00
NA18956	TRUE		  100.00
NA18951	TRUE		  100.00
NA18953	TRUE		  100.00
NA18952	TRUE		  100.00
NA18959	TRUE		  100.00
NA12891	TRUE		  100.00
NA12740	TRUE		  100.00
NA12749	TRUE		  100.00
NA19154	TRUE		  100.00
NA19152	TRUE		  100.00
NA19153	TRUE		  100.00
NA17017	TRUE		  100.00
NA19159	TRUE		  100.00
NA12144	TRUE		  100.00
NA12145	TRUE		  100.00
NA12146	TRUE		  100.00
NA18609	TRUE		  100.00
NA18608	TRUE		  100.00
NA18603	TRUE		  100.00
NA18605	TRUE		  100.00
NA18460	TRUE		  100.00
NA17019	TRUE		   90.00
NA17018	TRUE		  100.00
NA07034	TRUE		  100.00
NA07038	TRUE		  100.00
NA17016	TRUE		  100.00
NA10847	TRUE		  100.00
NA17161	TRUE		  100.00
NA18515	TRUE		  100.00
NA18517	TRUE		  100.00
NA18516	TRUE		  100.00
NA18999	TRUE		  100.00
NA18998	TRUE		  100.00
NA17086	TRUE		  100.00
NA17087	TRUE		  100.00
NA18991	TRUE		    0.00
NA18990	TRUE		    0.00
NA17088	TRUE		  100.00
NA18992	TRUE		  100.00
NA18995	TRUE		  100.00
NA18994	TRUE		  100.00
NA18997	TRUE		  100.00
