# ASCII text file containing parameters from LOADEST regression models for water-quality constituents 
# (excluding pesticides) analyzed by the USGS National Stream Quality Accounting Network (1996-2000) 
# File is tab-delimited; missing fields are denoted by a period (.)
# The first header contains column names
# The second header contains column formats
# Basin = Basin code
#            miss = Mississippi Basin
#            riog = Rio Grande Basin
#            colo = Colorado Basin
#            colum = Columbia Basin
# Station = Water-quality station number
# Begin = First water year of model period (September-October)
#   Note that the last water year of model period is always 2000
# Parameter = WATSTORE code
# Model = TRUE where data were sufficient for LOADEST to generate a model; 
#         FALSE where data were insufficient for LOADEST to generate a model
# Convergence obtained when successive parameter estimates differ by less than a given tolerance (see Methods for details)
# Converge = TRUE where data were sufficient for LOADEST model to converge;
#            FALSE where data were insufficient for LOADEST model to converge
# N obs = Total number of observations
# N detects = Number of uncensored values
# Mean = Mean load for model period, in pounds per day
# Std = Standard deviation for model period, in pounds per day
# Remaining columns contain parameters as appropriate for regression models from LOADEST
# Units for flow = cubic feet per second
# Flow coefficients relate to median-centered flow, to reduct multicolinearity of flow and squared flow terms
# Median flow is calculated for each solute, based on flow values for days where there is a non-missing concentration
# The median-centered flow is then calculated by:  ln(mean daily flow) minus ln(median flow)
# Note that, because of missing values for individual solutes, the median flow may vary by solute for the same station
# Dectime defined as fractional calendar year minus 1995, i.e. normalized to 1995
#
Basin	Station	Begin	Parameter	Model	Converge	N obs	N detects	Mean	Std	Intercept	ln(flow)	ln(flow)**2	sin(dectime*2*pi)	cos(dectime*2*pi)	dectime
5S	8S	4N	5S	5S	5S	7N	7N	12N	12N	12N	12N	12N	12N	12N	12N
miss	03216600	1997	00452	FALSE	FALSE	0	0	.	.	.	.	.	.	.	.
miss	03216600	1997	00453	TRUE	TRUE	49	49	21000000	680000	16.797	0.83919	0	-0.13834	-0.067817	0
miss	03216600	1997	00608	TRUE	TRUE	51	41	26000	2500	9.7399	0.62079	0	0.08259	0.38343	0
miss	03216600	1997	00613	TRUE	TRUE	51	44	10000	1400	8.8774	1.2027	0	-0.48008	-0.31812	0
miss	03216600	1997	00623	TRUE	TRUE	51	41	91000	3700	10.815	0.86597	0.11236	-0.21432	0.093527	0.14901
miss	03216600	1997	00625	TRUE	TRUE	51	50	200000	15000	11.494	1.3411	0.090704	-0.30301	0.078953	0.083898
miss	03216600	1997	00631	TRUE	TRUE	51	50	390000	33000	12.558	0.98073	0	0	0	0
miss	03216600	1997	00665	TRUE	TRUE	51	48	43000	5400	9.4142	1.9022	0	-0.60264	-0.0089096	0.15026
miss	03216600	1997	00666	TRUE	TRUE	51	33	7700	660	8.1623	1.1039	0	-0.45501	0.11136	0.17127
miss	03216600	1997	00671	TRUE	TRUE	51	46	3600	690	7.8774	0.97056	-0.2813	-0.71747	-0.26793	0
miss	03216600	1997	00915	TRUE	TRUE	51	51	11000000	260000	16.098	0.87411	-0.033798	-0.11787	-0.010851	0.027289
miss	03216600	1997	00925	TRUE	TRUE	51	51	3300000	88000	14.86	0.81624	-0.02903	-0.10448	-0.0033133	0.040365
miss	03216600	1997	00930	TRUE	TRUE	51	51	6500000	270000	15.304	0.71293	0	-0.20877	0.087736	0.13442
miss	03216600	1997	00935	TRUE	TRUE	51	51	900000	28000	13.527	0.96463	0	-0.31762	0.025792	0.039897
miss	03216600	1997	00940	TRUE	TRUE	51	51	7500000	360000	15.387	0.75134	0	-0.17336	0.15249	0.14347
miss	03216600	1997	00945	TRUE	TRUE	51	51	25000000	780000	16.828	0.78164	0	-0.10628	0.018378	0.050056
miss	03216600	1997	00950	TRUE	TRUE	51	42	61000	4200	10.576	0.90769	0.10418	-0.25557	0.0031634	0.079437
miss	03216600	1997	00955	TRUE	TRUE	51	51	2100000	50000	14.231	1.2489	-0.065097	0	0	0
miss	03216600	1997	01000	FALSE	FALSE	51	4	.	.	.	.	.	.	.	.
miss	03216600	1997	01005	TRUE	TRUE	36	36	15000	310	9.5744	0.91024	0	-0.1397	-0.073139	0.021016
miss	03216600	1997	01010	FALSE	FALSE	36	0	.	.	.	.	.	.	.	.
miss	03216600	1997	01020	TRUE	TRUE	51	51	14000	770	9.2648	0.88021	0	-0.42853	-0.024068	0.083214
miss	03216600	1997	01025	FALSE	FALSE	36	0	.	.	.	.	.	.	.	.
miss	03216600	1997	01030	FALSE	FALSE	36	6	.	.	.	.	.	.	.	.
miss	03216600	1997	01035	FALSE	FALSE	36	0	.	.	.	.	.	.	.	.
miss	03216600	1997	01040	TRUE	TRUE	36	35	620	29	6.2616	0.99265	0	-0.28137	-0.20173	0.0717
miss	03216600	1997	01046	TRUE	TRUE	51	33	8800	1300	8.2221	1.4038	0	0.26038	0.5043	0
miss	03216600	1997	01049	FALSE	FALSE	36	0	.	.	.	.	.	.	.	.
miss	03216600	1997	01056	TRUE	TRUE	36	36	10000	1800	8.453	0.41563	0	0.67375	1.1815	0
miss	03216600	1997	01060	TRUE	TRUE	36	29	710	63	6.3336	0.7416	0	-0.535	-0.13019	0.11867
miss	03216600	1997	01065	TRUE	TRUE	36	35	790	40	6.605	0.89124	-0.06307	0.045484	0.25908	0
miss	03216600	1997	01075	FALSE	FALSE	36	0	.	.	.	.	.	.	.	.
miss	03216600	1997	01080	TRUE	TRUE	51	51	65000	1800	10.923	0.79283	0	-0.10267	-0.021526	0.037655
miss	03216600	1997	01085	FALSE	FALSE	51	1	.	.	.	.	.	.	.	.
miss	03216600	1997	01095	FALSE	FALSE	36	0	.	.	.	.	.	.	.	.
miss	03216600	1997	01106	TRUE	TRUE	36	36	4700	350	8.2608	1.0775	0	0.1768	-0.19641	0
miss	03216600	1997	01130	TRUE	TRUE	51	46	2400	100	7.5996	0.81147	0	-0.19328	-0.060318	0.045387
miss	03216600	1997	01145	FALSE	FALSE	51	1	.	.	.	.	.	.	.	.
miss	03216600	1997	22703	FALSE	FALSE	36	0	.	.	.	.	.	.	.	.
miss	03216600	1997	29801	TRUE	TRUE	51	51	20000000	540000	16.779	0.87364	-0.048324	-0.16649	-0.03278	0
miss	03216600	1997	39086	TRUE	TRUE	48	48	17000000	570000	16.616	0.84047	0	-0.14534	-0.067457	0
miss	03216600	1997	70300	TRUE	TRUE	51	51	73000000	2100000	17.901	0.80923	0	-0.11724	0.020903	0.055677
miss	03216600	1997	80154	TRUE	TRUE	49	49	51000000	8700000	16.092	2.4599	0.20456	-0.7448	-0.33569	0
miss	03303280	1996	00452	FALSE	FALSE	0	0	.	.	.	.	.	.	.	.
miss	03303280	1996	00453	TRUE	TRUE	62	62	55000000	1600000	17.977	0.86207	0	0	0	-0.049368
miss	03303280	1996	00608	TRUE	TRUE	64	49	52000	5500	10.43	0.75641	0	-0.029582	0.611	0
miss	03303280	1996	00613	TRUE	TRUE	64	60	19000	1300	9.766	0.87821	0	-0.3035	-0.22519	0
miss	03303280	1996	00623	TRUE	TRUE	64	55	190000	9400	11.91	0.99398	0.085527	-0.11387	0.1597	0.029388
miss	03303280	1996	00625	TRUE	TRUE	64	63	470000	35000	12.287	1.542	0.25045	-0.16987	0.09963	0.069973
miss	03303280	1996	00631	TRUE	TRUE	64	64	860000	32000	13.575	1.0087	0	0	0	0
miss	03303280	1996	00665	TRUE	TRUE	64	64	170000	27000	10.842	1.9754	0.28856	0	0	0
miss	03303280	1996	00666	TRUE	TRUE	64	57	22000	1700	9.3795	1.0351	0	0	0	0.09191
miss	03303280	1996	00671	TRUE	TRUE	64	62	22000	2900	9.4724	1.2609	0	0	0	0
miss	03303280	1996	00915	TRUE	TRUE	65	65	23000000	530000	16.986	0.86868	-0.024386	0	0	0
miss	03303280	1996	00925	TRUE	TRUE	65	65	6300000	140000	15.706	0.77893	-0.034224	0	0	0
miss	03303280	1996	00930	TRUE	TRUE	65	65	11000000	510000	15.856	0.75051	0	-0.16181	0.27657	0.11436
miss	03303280	1996	00935	TRUE	TRUE	65	65	1700000	26000	14.297	1.0002	0.050772	-0.26551	0.036077	0.022774
miss	03303280	1996	00940	TRUE	TRUE	65	65	14000000	680000	16.061	0.76816	0	-0.11913	0.33782	0.12561
miss	03303280	1996	00945	TRUE	TRUE	65	65	38000000	1200000	17.375	0.74274	-0.065554	-0.059266	0.16891	0.04994
miss	03303280	1996	00950	TRUE	TRUE	65	62	110000	4800	11.634	0.92252	0.052722	-0.26949	0.028844	0
miss	03303280	1996	00955	TRUE	TRUE	65	65	3600000	120000	14.88	1.1978	-0.10435	0.21088	0.029866	0
miss	03303280	1996	01000	TRUE	TRUE	65	8	660	140	6.196	0.87543	0	0	0	0.069209
miss	03303280	1996	01005	TRUE	TRUE	50	50	25000	540	10.133	0.8708	0	-0.093585	0.0054343	0.029108
miss	03303280	1996	01010	FALSE	FALSE	50	0	.	.	.	.	.	.	.	.
miss	03303280	1996	01020	TRUE	TRUE	62	61	25000	930	9.886	0.81168	0	-0.39844	0.0024532	0.10637
miss	03303280	1996	01025	FALSE	FALSE	50	0	.	.	.	.	.	.	.	.
miss	03303280	1996	01030	TRUE	TRUE	50	19	970	83	6.7058	0.90646	0	0	0	0
miss	03303280	1996	01035	FALSE	FALSE	50	0	.	.	.	.	.	.	.	.
