"Site number"	"Site name"	"Transect number"	"Transect point number"	"Measurement taken in thalweg"	"Depth (m)"	"Bed substrate"	"Embeddedness (percent)"	"Silt present"	"Woody debris present"	"Overhanging vegetation present"	"Undercut banks"	"Boulders"	"Aquatic macrophytes"	"Manmade structure"	"Too turbid to determine if cover features exist"	"No habitat features"	"Habitat features not classified"
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	1	1	TRUE	0.35	5	10	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	1	2	FALSE	0.15	2	0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	1	3	FALSE	0.35	5	30	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	1	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	1	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	2	1	FALSE	0.35	4	40	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	2	2	TRUE	0.35	4	20	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	2	3	FALSE	0.25	4	40	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	2	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	2	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	3	1	FALSE	0.2	2	90	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	3	2	TRUE	0.55	6	20	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	3	3	FALSE	0.45	5	40	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	3	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	3	5	FALSE	0	-	-	No Observation	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	4	1	TRUE	0.35	4	30	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	4	2	FALSE	0.3	4	20	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	4	3	FALSE	0.15	2	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	4	4	FALSE	0	-	-	No Observation	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	4	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	5	1	FALSE	0.25	2	10	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	5	2	TRUE	0.3	4	40	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	5	3	FALSE	0.25	4	40	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	5	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	5	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	6	1	FALSE	0.1	3	40	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	6	2	TRUE	0.15	6	30	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	6	3	FALSE	0.15	6	20	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	6	4	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
05527675	"Brighton Creek at State Highway 45 nr Bristol, WI"	6	5	FALSE	0	-	-	No Observation	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
