Taxon	Scaffold	Gene1	Gene2	Consecutive	Sep	Code	Strand1	Strand2	GNScore	GNWithin	GNAll	GNMinus	CAI	CAI.Alm	CBI	COG	COGanno	COGfun	Annotation	nCAI	nCAI.Alm	nCBI	nCOG	nCOGanno	nCOGfun	nAnnotation	MI	HK	CAIdsqr	CAIdxdy	CAIlogpratio	CAIdxdyR	CAIdsqrR	COGsim	N1	N2	forward	forwardplus	sumBias	same	bbfGNScore	bbfGNMinus	bbfGNWithin	bbfGNAll	bbfHK	bbfMI	bbfCAIdxdyR	bbfCAIdsqrR	COGsimClass	cfCOG	pSame	groupIndexD	pSameD	pOpLogistic	pOpDistance	pOp1	bOp1	pCAI	pOp	bOp	pOp2	pSame	pOpLogisticLike	pOpLogisticM
182710	212	276782	276783	1	  187	Same	+	+	 62.7943798	 7.60015639	145.9644299	142.77493036	1.450406	2.415725	0.8462855	593	ATPase involved in DNA replication initiation	L	chromosomal replication initiation protein	1.505439	2.584497	0.9016996	592	DNA polymerase sliding clamp subunit (PCNA homolog)	L	DNA-directed DNA polymerase III beta chain	 2.176049e-01	50	3.028635e-03	 2.219646e-02	 1.962327e-01	 6.186875e-01	3.468255e-02	L	50	59	 TRUE	 TRUE	  1	TRUE	4.455100	4.1761103	3.1447214	4.9620171	2.5398670	2.6569037	1.1449135	1.2308635	Y	2.8103291	0.9946346	30.26923077	0.19593394	0.9926631	0.2305243	0.97056142	 TRUE	0.5119534	0.97189748	 TRUE	0.69004174	0.9946346	0.8970064	0.9868700
182710	212	276783	276784	1	  253	Same	+	+	 10.1806895	 6.73334572	 19.6586125	 19.41913250	1.505439	2.584497	0.9016996	592	DNA polymerase sliding clamp subunit (PCNA homolog)	L	DNA-directed DNA polymerase III beta chain	1.815608	2.975638	1.0172216	2501	Uncharacterized conserved protein	S	hypothetical protein	 5.210463e-02	15	9.620484e-02	-2.308422e-02	-1.410570e-01	-5.963277e-01	2.409101e+00		59	15	 TRUE	 TRUE	  2	TRUE	3.538664	3.0989450	2.7762044	3.0978890	1.7626711	1.4990371	0.6223044	0.6417611	U	0.9145799	0.9645725	33.74615385	0.17869508	0.9500451	0.2110409	0.80536579	 TRUE	0.4046817	0.73772530	 TRUE	0.41915766	0.9645725	0.8299082	0.9169370
182710	212	276784	276785	1	    3	Same	+	+	 10.1806895	 6.73334572	 19.6586125	 19.48367102	1.815608	2.975638	1.0172216	2501	Uncharacterized conserved protein	S	hypothetical protein	1.652294	2.718524	0.9145884	1195	Recombinational DNA repair ATPase (RecF pathway)	L	RecF	 4.393318e-02	15	2.667146e-02	 4.257409e-03	 1.013596e-02	 2.254201e-01	3.468911e-01		15	44	 TRUE	 TRUE	  3	TRUE	3.538664	3.1046060	2.7762044	3.0978890	1.7626711	1.3794621	1.2217110	1.1661682	U	0.9145799	0.9646640	 6.78461538	0.90713724	0.9501789	0.9231348	0.99466111	 TRUE	0.5194814	0.99505956	 TRUE	0.98098913	0.9646640	0.8301111	0.9171411
182710	212	276785	276786	1	   36	Same	+	+	  1.3499267	 0.78845736	  2.1383841	  2.13838408	1.652294	2.718524	0.9145884	1195	Recombinational DNA repair ATPase (RecF pathway)	L	RecF	1.753493	3.048359	0.9596874	-	-	-	hypothetical protein	 1.430590e-02	 2	1.024140e-02	 2.837041e-03	 7.877773e-02	 1.908562e-01	2.099058e-01		44	 2	 TRUE	 TRUE	  4	TRUE	2.082135	1.6440630	1.4892116	1.0172055	1.0185051	0.9346162	1.2265173	1.1883906	U	0.9145799	0.8547104	17.46923077	0.59276605	0.7688000	0.6415189	0.82877348	 TRUE	0.5203091	0.84000168	 TRUE	0.69717362	0.8547104	0.5931932	0.7045952
182710	212	276786	276787	1	  240	Same	+	+	  0.0000000	 0.78845736	  0.7884574	  0.48835277	1.753493	3.048359	0.9596874	-	-	-	hypothetical protein	1.568532	2.654329	0.9397459	187	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	L	DNA gyrase subunit B	 1.430590e-02	 2	3.421061e-02	-7.554959e-03	-5.622221e-02	-2.502796e-01	1.142414e+00		 2	44	 TRUE	 TRUE	  5	TRUE	0.757940	1.2820990	1.4892116	0.6757184	1.0185051	0.9346162	0.8932995	0.8699302	U	0.9145799	0.7377350	33.20769231	0.18456100	0.5164824	0.2176872	0.19469405	FALSE	0.4725004	0.17800799	FALSE	0.10034608	0.7377350	0.3549092	0.5328208
182710	212	276787	276788	1	   89	Same	+	+	 34.3037077	 7.60015639	 64.0524647	 60.87821159	1.568532	2.654329	0.9397459	187	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	L	DNA gyrase subunit B	1.596755	2.690930	0.9477390	188	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit	L	DNA gyrase subunit A	 1.224959e-01	44	7.965172e-04	 1.989514e-03	 4.237951e-02	 4.740368e-02	4.395496e-02	L	44	65	 TRUE	 TRUE	  6	TRUE	4.241095	3.8409605	3.1447214	4.3937117	2.4524182	2.2342152	1.2253905	1.2287464	Y	2.8103291	0.9931185	23.02307692	0.34369394	0.9905756	0.3916636	0.98215649	 TRUE	0.5251517	0.98383807	 TRUE	0.82946581	0.9931185	0.8935978	0.9831971
182710	212	276788	276789	1	   71	Same	+	+	  0.0000000	 0.78845736	  0.7884574	  0.78845736	1.596755	2.690930	0.9477390	188	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit	L	DNA gyrase subunit A	1.725536	2.882692	0.9672432	2206	HD-GYP domain	T	hypothetical protein	 1.765169e-03	 1	1.658456e-02	-3.140051e-03	 1.531481e-02	-8.656155e-02	5.921217e-01	0	65	 1	 TRUE	 TRUE	  7	TRUE	0.757940	1.3375714	1.4892116	0.6757184	0.9161387	0.7794999	1.1120082	1.0591000	N	1.1486227	0.7646162	21.15384615	0.42248701	0.5812977	0.4735195	0.50388260	 TRUE	0.4899544	0.49383600	FALSE	0.32672311	0.7646162	0.4084725	0.5684181
182710	212	276791	276792	1	  233	Same	+	+	  0.0000000	 1.79012481	  2.7500336	 -0.75593114	1.389668	2.423917	0.8500276	516	IMP dehydrogenase/GMP reductase	F	inosine-5'-monophosphate dehydrogenase	1.526899	2.608154	0.9092833	1686	D-alanyl-D-alanine carboxypeptidase	M	serine-type D-Ala-D-Ala carboxypeptidase	 1.038130e-02	 9	1.883234e-02	 2.458175e-02	 1.670085e-01	 5.763884e-01	1.320049e-01	0	54	 9	 TRUE	 TRUE	  8	TRUE	0.757940	0.4835771	1.7741928	1.0530449	1.3525975	0.8936129	1.1520509	1.2065794	N	1.1486227	0.6946562	32.86153846	0.18849635	0.4021511	0.2221364	0.13513253	FALSE	0.5142295	0.14192572	FALSE	0.08355788	0.6946562	0.2705009	0.4798165
182710	212	276792	276793	1	  386	Same	+	+	  0.0000000	 1.79012481	  2.7500336	 -0.94883481	1.526899	2.608154	0.9092833	1686	D-alanyl-D-alanine carboxypeptidase	M	serine-type D-Ala-D-Ala carboxypeptidase	1.481820	2.455163	0.8711896	172	Seryl-tRNA synthetase	J	seryl-tRNA synthetase	 7.220042e-03	 9	2.032157e-03	 1.513371e-02	 1.805878e-01	 4.775007e-01	3.929477e-02	0	 9	70	 TRUE	 TRUE	  9	TRUE	0.757940	0.4918214	1.7741928	1.0530449	1.3525975	0.8582571	1.1699062	1.2298592	N	1.1486227	0.6954845	37.55384615	0.12976143	0.4044830	0.1549205	0.09196375	FALSE	0.5143263	0.09686366	FALSE	0.05573994	0.6954845	0.2721076	0.4807920
182710	212	276793	276794	1	  757	Same	+	+	  0.0000000	-3.94159196	  0.0000000	-14.86288737	1.481820	2.455163	0.8711896	172	Seryl-tRNA synthetase	J	seryl-tRNA synthetase	1.616593	2.815809	0.9396719	345	Pyrroline-5-carboxylate reductase	E	pyrroline-5-carboxylate reductase	 3.075273e-02	55	1.816390e-02	 1.894265e-03	 1.013804e-02	-2.072130e-02	6.776473e-01	0	70	55	 TRUE	 TRUE	 10	TRUE	0.757940	0.5785369	0.4491216	0.6591098	2.5981269	1.1723759	1.1968823	1.0258236	N	1.1486227	0.6549352	39.95384615	0.09364088	0.2834035	0.1127036	0.03925577	FALSE	0.4895084	0.03770304	FALSE	0.02331794	0.6549352	0.1941922	0.4348837
